(eemale, ära) ajama	гнать
millest tehtud	из (о материале)
Millest?	О чём?
milligramm	миллиграмм
millimeeter	миллиметр
milline	какой
mimoos	мимоза
mina	я
mind	меня
mineerima	заминировать
minema	идти
mineraal	минерал
mineraalvesi	минеральная вода
minestus	обморок
minevik	прошлое (сущ.)
miniatuur	миниатюра
minister	министр
minu arvates ...	по моему мнению ...
minu, enda	мои
minut	минута
mis	что (местоимение)
mis tahes	любой
mis, mida	что
Mis?	Который?
Mis?	Что?
misjonär	миссионер
miski	что-нибудь
miski	что-то
Mississippi	Миссисипи
Missugune?	Какой?
mitmesugune	разный
mitte keegi	никто
mitte kuhugi	никуда
mitte kunagi	никогда
mitte kuskil	нигде
mitte midagi	ничего
MITTE SEGADA	НЕ БЕСПОКОИТЬ
MITTE SUITSETADA!	НЕ КУРИТЬ!
Mitu?	СКОЛЬКО? (исчисл.)
Mjanma	Мьянма
mobiiltelefon	мобильный телефон
modell	модель (манекенщица)
modell	натурщик
modell	натурщица
modem	модем
moekunstnik	модельер
möirgama	реветь
mõistatus	загадка
mõistatust andma	загадывать загадку
mõiste	смысл (напр. слова)
mõiste	термин
mõistma	понять
mõistus	ум
mõju	влияние
mõjuma	влиять
molbert	мольберт
moldaavia	молдавский
moldaavlane	молдаванин
moldaavlanna	молдаванка
mölder	мельник
Moldova	Молдова
molekul	молекула
moment	момент
Monaco	Монако
monarh	монарх
mongol	монгол
mongoli	монгольский
mongolitar	монголка
Mongoolia	Монголия
mõnikord	иногда
monopol	монополия
Mont Blanc	Монблан
Montreal	Монреаль
mööbel	мебель
mood	мода
mööda sõitma	проезжать (миновать)
möödasõidu keeld	обгон запрещён
möödasõit	обгон
moodne	МОДНЫЙ
mõõdulint	рулетка
möödunud	прошедший
möödunud	прошлый
möödunud aastal	в прошлом году
möödunud kuus	в прошлом месяце
möödunud nädalal	на прошлой неделе
mõõk	меч
mõõk	шпага
moon	мак
mõõn	отлив
moos	варенье
mõõteriist	измерительный прибор
mõõtma	измерять
mootor	двигатель
mootor	двигатель, мотор
mootorimaht	объём двигателя
mootoriõli	масло моторное
mootorlaev	теплоход
mootorratas	мотоцикл
mops	мопс
mormoon	мормон
mormoonlus	Мормонство
mõru	горький
mõrv	убийство
mõrvar	убийца
mosaiik	мозаика
mošee	мечеть
Moskva	Москва
moslem	мусульманин
moslemi	мусульманский
motell	мотель
motiiv	мотив (преступления)
mõtlema	думать
motoroller	мотороллер
mõttekriips	тире
mõttesse jääma	задуматься
mugav	комфортабельный
mugav	удобный (мебель и т.п.)
mugavus	комфорт
Muhamed	Мухаммед
muhk	шишка
muide	кстати, ...
muinasjutt	сказка
muljutis	вмятина
mulla	мулла
muna	яйцо
munad	яйца
munakollane	желток
munakoor	скорлупа
munaroog	яичница
munast välja tulema	вылупляться
munavalge	белок
München	Мюнхен
mungaklooster	монастырь (мужской)
munk	монах
munstükk	мундштук
münt	монета
müokardi infarkt	инфаркт миокарда
murdma	ломать
murdma	сорвать (цветок)
murdmaasuusatamine	лыжные гонки
murdvaras	взломщик
mureen	мурена
murel	черешня
murelipuu	черешня
muretsema	волноваться
mürgine	ЯДОВИТЫЙ
mürgine seen	ядовитый гриб
mürgitus	отравление (пищевое)
mürgitust saama	отравиться (едой)
müristab	гремит гром
müristama	греметь (о громе)
mürkel	сморчок
mürsk	снаряд
mürsuauk	пробоина
muru	газон
musket	мушкет
musketär	мушкетёр
must	чёрное
must	чёрный
Must Jack	блэк джек
must kast	чёрный ящик
Must meri	Чёрное море
must pipar	чёрный перец
must sõstar	чёрная смородина
mustad	чёрные
mustang	мустанг
Müstik	ледник
mustikas	черника
mustkunstnik	фокусник
mustlane	цыган
mustlaslik	цыганский
mustlasnaine	цыганка
musträstas	чёрный дрозд
mutri võti	гаечный ключ
mutrivõti	гаечный ключ
müts	шапка
mutt	крот
mutter	гайка
muuja	продавец
muuja	продавщица
muul	мул
müüma	продавать
muuseum	музей
muusik	музыкант
muusika	музыка
muusikariist	музыкальный инструмент
müüt	миф
muutma	изменить (поменять)
naaber	сосед
naaber (nais soost)	соседка
naabri-	соседний
naabrid	соседи
naabrinaine	соседка
naarits	норка
naba	пупок
nädal	неделя
nädalavahetus	выходные
nael	гвоздь
nael	фунт (мера веса)
naelapea	шляпка (гвоздя)
naelsterling	фунт стерлингов
naer	смех
naeratama	улыбаться
naeratus	улыбка
naeris	репа
naerma	смеяться
naerma hakkama	засмеяться
nafta	нефть
nafta puurtorn	нефтяная скважина
naftajuhe	нефтепровод
nägema	видеть
nagi	вешалка (стойка)
nägu	ЛИЦО
nägu	морда
nägu pesema	умываться
nahast	из кожи
nahk	кожа
nahk	шкура (убитого животного)
nahkhiir	летучая мышь
nähtavus	видимость
näide	пример
näidend	пьеса
näidis	образец
naiivne	наивный
nailon	нейлон
nailonist	из нейлона
naine	жена
naine	женщина
Nairobi	Найроби
naist võtma	жениться
naistearst	гинеколог
näit	показание (прибора)
näit	показание (счётчика)
näitama	показать
näitama	показывать
näitama	указать (направление)
näitama	указать(направление)
näiteks	например
näitleja	актёр
näitleja	артист
näitlejanna	актриса
näitlejanna	артистка
näitus	выставка
nakatama	заразить (~ гриппом)
nakatuma	заразиться чем-л.
Näkineid	русалка
näkkima	клевать (о рыбе)
nakkus	инфекция
nali	шутка
nalja tegema	шутить
näljahäda	голод (бедствие)
naljakas	смешной
naljakas	смешной (анекдот)
naljakas	смешной (забавный)
naljakas	смешной (человек)
näljane	голодный
Namiibia	Намибия
näpits tangid	плоскогубцы
Napoli	Неаполь
napsiklaas	рюмка (стопка)
närima	грызть
närimiskumm	жевательная резинка
narkokaupmees	торговец наркотиками
narkomaan	наркоман
narkootik	наркотик
narrima	дразнить (обзывать)
närtsima	вянуть
nartsiss	нарцисс
närv	нерв
närveerima	нервничать
närvid	нервы
närviline	нервный
nastik	уж
natuke	немного ...
natüürmort	натюрморт
näuguma	мяукать
neem	мыс
neer	почка
negatiivne	отрицательный
Neitsi	Дева
neitsi	девственница
nekroloog	некролог
neli korda aastas	4 раза в год
neljapäev	четверг
nelk	гвоздика
nemad	они
Nepal	Непал
Neptuun	Нептун
neuroos	невроз
New York	Нью-Йорк
Newfoundland! koer	ньюфаундленд
Nice	Ницца
nihestama	вывихнуть
nihestus	вывих
nii	так
Niilus	Нил
niipalju	столько
niiske	влажный (климат)
niiskus	влажность
niit	нитка
niitma	косить (траву)
nikkel	никель
nimekiri	список
nimesilt	бэдж
nimetama	называть
nimetus	название
nimi	имя
nimi	кличка (животн.)
nimisõnad	существительное
nina	нос
ninasarvik	носорог
nirk	ласка
nisu	пшеница
niutsuma	скулить
noatera	лезвие (ножа)
nõel	игла (для шитья)
nõelama	жалить (о насекомом)
nõges	крапива
nõgu	впадина
nohu	насморк
nõid	ведьма
nõid	колдун
nokaut	нокаут
nokauti lööma	нокаутировать
nokdaun	нокдаун
nokk	КЛЮВ
nokkima	клевать
nõlv	СКЛОН
noodid	ноты
noogutama	кивнуть (в знак согласия)
nool	стрела
nool	стрелка
nööp	пуговица
nööpauk	петля (для пуговицы)
noor	молодой
nöör	верёвка
nöör	шнур (верёвка)
noorem poeg	младший сын
noorem tütar	младшая дочь
noorsõdur	новобранец
nooruk	подросток
noorus	юность
noppima	рвать (напр. цветы)
nõrk	слабый
nõrk	слабый (о ремне и т.п.)
nõrkus	недостаток (характера)
norm	норма (стандарт)
normaalne	нормальный
Norra	Норвегия
norra	норвежский
norralane	норвежец
norralanna	норвежка
norskama	храпеть
norskamine	храп
notar	нотариус
nõu	совет
nõu	сосуд
nõudepesumasin	посудомоечная машина
nõudma	настаивать (упорствовать)
nõudma	требовать
nõudmine	спрос
nõue	требование
nõunik	советник
nõupidamine	совещание
nõusolek	согласие
nõustuma	соглашаться
november	ноябрь
nuga	НОЖ
nuga	ножик
nugis	куница
nuhkima	шпионить
nulg	пихта
null	ноль
number	номер
number	номер (в гостинице)
number	номер (выступление)
number	номер (журнала)
number	номер (напр. автобуса)
nunn	монахиня
nunnaklooster	монастырь (женский)
nupp	кнопка
nüri	тупой
nüriks minema	затупиться
nurjumine	крах
nurk	угол
nurk	угол (дома)
nurk	угол (комнаты)
nurru lööma	мурлыкать
nutma	плакать
nutma hakkama	заплакать
nüüd	сейчас (в эту минуту)
nüüd	теперь
nuustik	губка
nuusutama	нюхать (о животных)
oaas	оазис
oad	бобы
obligatsioon	облигация
oboe	гобой
observatoorium	обсерватория
oda	копьё
oda	КОПЬё (спорт.)
oda	слон
odav	дешёвый
odav	дешёвый (о предмете)
odav	недорогой
odavnema	подешеветь
õde	сестра
oder	ячмень
öeldis	сказуемое
ohe	вздох
ohjad	вожжи
õhk	воздух
ohkama	вздохнуть
õhkpadi	воздушная подушка
õhku tõusma	взлетать
õhkutõusmine	взлёт
oht	опасность
ohtlik	опасный
õhtu	вечер
õhtul	вечером
õhtusöök	ужин
õhtust sööma	ужинать
õhuauk	воздушная яма
õhufilter	воздушный фильтр
õhuhäire	воздушная тревога
õhuke	тонкий
õhutõrjekahur	зенитка
ohutu	безопасный
ohver	жертва
ohverdama	пожертвовать (фигуру)
ohverdamine	жертвоприношение
ohvitser	офицер
oie	стон
õieleht	лепесток
oigama	стонать
õige	верный (правильный)
õige	правильный (верный)
õigeks ajaks	вовремя
õigeusk	Православие
õigeusklik	православный
õigeusukirik	Православная церковь
õiglane	справедливый
õiglus	справедливость
õigus	право
oinas	баран
õitsema	цвести
oja	ручей
okas	иголка
okas	шип (растения)
okaspuu	хвойное
okassiga	дикобраз
okastraat	колючая проволока
Okavango	Окаванго
ökoloogia	экология
oks	ветка
oks	сук
okse	рвота
oksjon	торги (аукцион)
oktoober	октябрь
õled	солома
Oled sa kindel?	Ты уверен?
olema	быть
olemas olema	существовать
olend	существо
õlg	плечо
õli	масло
õlifilter	масляный фильтр
oliivid	оливки
oliivõli	масло оливковое
õllebaar	пивная
olukord	обстановка
oluline	существенный
Olümpiamängud	Олимпийские игры
omadus	свойство
omadussõnad	прилагательное
omaette	про себя
omaette	про себя (читать)
omama	иметь
omand	собственность
omanik	владелец
õmblema	шить
õmblus	шов (швейный)
õmblusmasin	машинка (швейная)
omlett	омлет
on külm	холодно (о погоде)
on kuum	жарко (о погоде)
õng	удочка
õnge vette viskama	забросить удочку
õngekonks	крючок
õngekork	поплавок
õngenöör	леска
Õnn kaasa!	Удачи!
õnnelik	счастливый
õnneseen	удачливый (человек)
õnnestunud	удачный
õnnitlema	поздравлять
õnnitluskaart	поздравительная открытка
onu	дядя
onupoeg	двоюродный брат
onutütar	двоюродная сестра
öö	ночь
ööbik	соловей
ookean	океан
ööklubi	ночной клуб
öökull	сова
öökülmad	заморозки
ööpäev	сутки
ooper	опера
õõs	дупло
öösärk	ночная рубашка
öösel	ночью
ootama	ждать
ooteruum	зал ожидания
õõtssoo	трясина
operaator	оператор
operatiivmälu	оперативная память
operatsioon	операция (мед.)
operett	оперетта
õpetaja	учитель
õpetama	учить (об учителе)
õpetus	учения
õpik	учебник
õpik iseõppijaile	самоучитель
õpilane	ученик
õpilane	ученица
opositsioon	оппозиция
opositsiooniline	оппозиционный
õppeaine	предмет (дисциплина)
õppejõud	преподаватель
õppekirjandus lastekirjandus	учебная литература детская литература
õppima	учить (иностр. язык)
õppima	учить (что-л.)
õppima	учиться
õppima	учиться (чему-л.)
optika	оптика
orangutang	орангутанг
oranž	оранжевый
orav	белка
orb	сирота
orbiit	орбита
orbitaaljaam	орбитальная станция
orden	орден
orel	орган
organisaator	организатор
organisatsioon	организация (предприятие)
organiseeritud	организованный
organism	организм
orhidee	орхидея
ori	раб
originaal	оригинал
originaal	подлинник
originaaldokument	подлинный (документ)
orjus	рабство
orkaan	ураган
orkester	оркестр
õrn	нежный
õrnus	нежность
osa	роль
osa	часть (целого)
osa võtma	участвовать
osake	частица (часть чего-л.)
osakond	отделение
osapooled	стороны
osariik	штат (часть страны)
osavõtja	участник
osavõtt	участие
osavõtuavaldus	заявка на участие
oskama	уметь
Oslo	Осло
ost	покупка (предмет)
oste tegema	делать покупки
ostma	купить
ostma	покупать
osuti	стрелка (часов)
otse	напрямик
otse	прямо
otsima	искать
otsima	искать ...
otsima	искать, разыскивать
otsimisressurss	поисковый ресурс
otsing	поиск
otsus	решение
otsustama	решать (принимать решение)
otsustav	решительный
Ottawa	Оттава
õudne	страшный
õudne	ужасный
õudus	ужас
õudusfilm	фильм ужасов
õudusunenägu	кошмар
õun	яблоко
õunapuu	яблоня
ovaal	овал
ovaalne	овальный
ovatsioon	овации
paabulind	павлин
paak	бак
paanika	паника
paar	пара (обуви и т.п.)
päästeingel	ангел-хранитель
päästepaat	шлюпка спасательная
päästerõngas	спасательный круг
päästevest	спасательный жилет
päästja	спасатель
Päästja	Спаситель
päästma	спасать
paat	лодка
paber	бумага
paber-	бумажный
padi	подушка
padjapüür	наволочка
padrik	заросли
padrun	патрон
padrunisalv	магазин (автомата)
paduvihm	проливной дождь
paekivi	известняк
päev	день
päevalilleõli	подсолнечное масло
päevavari	зонт
päevik	дневник
päevik	ежедневник
päevitunud	загорелый
pagar	пекарь
pagas	багаж
pagas ikäru	тележка (для багажа)
pagasi käru	тележка для багажа
pagasi otsimine	розыск багажа
pagun	ПОГОН
paha	плохой
pahaloomuline	злокачественная
pahameel	возмущение
pahane olema	возмущаться
pähe õppima	учить наизусть
paigutama	располагать (размещать)
päike	солнце
päikesepatarei	солнечная батарея
päikeseprillid	очки (от солнца)
Päikesesüsteem	солнечная система
päikesetõus	восход солнца
päiksekell	часы солнечные
päikseline	солнечный (день)
päiksepaisteline	солнечный (день)
päiksepiste	солнечный удар
päiksevarjutus	солнечное затмение
pais	плотина
paistma	виднеться
paistma	показаться (появиться)
paistma	светить (о солнце)
paitus	палтус
paju	ива
pakane	мороз
päkapikk	гном
pakasene	морозный
pakikandja	носильщик
pakiruum	багажник
Pakistan	Пакистан
pakistani	пакистанский
pakistanlane	пакистанец
pakistanlanna	пакистанка
pakk	пачка (чая, сигарет)
pakkuma	предлагать
pakkumine	предложение
paks	ТОЛСТЫЙ
paks	толстый (слой)
palavik	лихорадка
Palestiina autonoomia	Палестина
palett	палитра
palgamõrvar	наёмный убийца
palgasõdur	наёмник
palju	много
paljud	многие
paljundama	размножить
palk	оклад
palkama	нанимать (работника)
pall	мяч
palm	пальма
paluma	просить
palve	молитва
palve	просьба
palverändamine	паломничество
palverändur	паломник
palvetama	молиться
Pamiir	Памир
Panama	Панама
panama	панамка
panda	панда
pangaautomaat	банкомат
pangakonto	счёт (в банке)
pangalaen	кредит
pangandus	банковский бизнес
pangatšekk	чек(банковский)
pank	банк
pankrot	банкротство
pankrotistuma	обанкротиться
pann	сковородка
panter	пантера
pantomiim	пантомима
panus	ставка
panust mustale panema	ставить на чёрное
panust punasele panema	ставить на красное
panust tegema	делать ставки
papa	папа
papagoi	попугай
papaia	папайя
papp	картон
papp-	картонный
pappel	ТОПОЛЬ
pappus	ХОХОЛОК
paprika	паприка
paraad	парад
paradiis	рай
Paraguai	Парагвай
paralleel	параллель
paralleelne	параллельный
parandama	исправлять (ошибку)
parandama	ремонтировать
parandamine	починка
paras olema	подходить (быть впору)
pärast	после
pärast	через ... (о времени)
pärast lõunat	после обеда
pardel	бритва
pardipoeg	утёнок
parem	правый
paremal	справа
paremale	вправо
paremale	направо
pärg	венок
Pariis	Париж
pärilik	наследственный
parim	лучший
pärima	наследовать
päriseks	насовсем
park	парк
parkima	парковать (машину)
parkima	парковаться
parkimise keeld	стоянка запрещена
parkla	автостоянка
parkla	паркинг, парковка
parkla	стоянка (авто)
pärlid	жемчуг
parmal	пряжка
pärn	липа
parool	пароль
part	утка
parter	партер
partii	партия
partii	партия (в игре)
partii	партия (груза)
partner	партнёр
partner	партнёр (соучредитель)
partnerlus	партнёрство
parukas	парик
parun	барон
parvlaev	паром
pass	паспорт
passikontroll	паспортный контроль
pastakas	шариковая ручка
pasteet	паштет
pastor	пастор
patarei	батарейка
patarei	батарея
patareid vahetama	поменять батарейку
patent	патент
patenti saama	патентовать
patrioot	патриот
patrull	патруль
patrullauto	патрульная машина
patrullima	патрулировать
pats	коса
patsient	пациент
patsutama	хлопать (по плечу и т.п.)
patt	грех
pätt	бездомный (сущ.)
pattu tegema	грешить
patustaja	грешник
patustaja	грешница
paus	пауза
paviljon	павильон
pea	голова
peaaegu	ПОЧТИ
peaauhind	главный приз
peaingel	архангел
peakokk	шеф-повар
peal	на (на чём-то)
peale kaebama	доносить (сделать донос)
peale selle ...	кроме того, ...
peale tungima	наступать
pealetung	наступление
pealik	вождь
pealinn	столица
pealkiri	заголовок
pealt kuulama	подслушивать
pealuu	череп
peamine	главный
peamine	основной
peaminister	премьер-министр
peaosa	главная роль
peapööritus	головокружение
peas olema	наизусть
peatama	остановить (для проверки)
peatee	главная дорога
peategelane	главный герой
peatoimetaja	главный редактор
peatorn	главная башня
peatugi	ПОДГОЛОВНИК
peatükk	глава
peatükk	глава (книги)
peatuma	останавливаться
peatuma	остановиться (в отеле)
peatumise keeld	остановка запрещена
peatus	остановка (~ автобуса)
peatus	остановка (в пути)
pedaal	педаль
pedagoog	учитель, педагог
pedagoogika	педагогика
peegel	зеркало
peekon	бекон
peenar	грядка
peenike	тонкий
peet	свёкла
pehme	мягкий
peitel	стамеска
peitma	прятать
Peking	Пекин
pekk	сало
pelikan	пеликан
pension	пенсия
pensionär	пенсионер
pensionile minema	уйти на пенсию
peopesa	ладонь
perekond	семья
perekondlik	семейный
perekonnanimi	фамилия
perekonnnimi	фамилия
peremees	хозяин (владелец)
periood	период
periood	период (хокк.)
perioodilised väljaanded	периодическое издание
perse	жопа
perspektiiv	перспективы
Peruu	Перу
pesa	гнездо
pesa punuma	вить гнездо
pesapall	бейсбол
pesapallimüts	бейсболка
pesapallur	бейсболист
pesema	мыть
pesema	мыться
pesu	бельё (одежда)
pesu pesema	стирать (бельё)
pesu pesema	стирать бельё
pesukaru	енот
pesukauss	таз
pesumasin	стиральная машина
pesupesemine	стирка
pesupulber	стиральный порошок
Peterburi	Санкт-Петербург
petersell	петрушка
petma	изменить
petma	обманывать
petma	разочаровать
petmine	измена
pettuma	разочароваться
pettumus	разочарование
pianist	пианист
pidev	постоянный (шум)
pidevalt	постоянно (все время)
pidu	веселье (радость)
pidupäev	праздничный день
pidur	тормоз
pidur	тормоза
pidurdama	тормозить
piduripedaal	педаль тормоза
pidžaama	пижама
pihlakas	рябина
pihtima	исповедоваться
pihtimus	исповедь
piibel	библия
piibli-	библейский
piiksuma	пищать (о птицах)
piiluma	подсматривать
piim	молоко
piinamine	пытка
piip	трубка
piiratud	ограниченный
piirdeaed	ограда
piire	бордюр
piiripääsuke	стриж
piiritus	спирт
piirivalvur	пограничник
piisama	хватать (быть достаточным)
piiskop	епископ
piison	бизон
piits	плётка
pikend usjuhe	удлинитель
pikk	длинный
pikk	длинный (путь)
pikka kasvu	высокая
pikka kasvu	ВЫСОКИЙ
pikksilm	подзорная труба
pikkus	длина
pikkus	долгота
piknik	пикник
pildistama	фотографировать
pilet	билет
pilet	билет (входной)
pilet	билет (на поезд и т.п.)
pileti hind	стоимость билета
piletikassa	билетная касса
piletikontroll	контроль (в транспорте)
pilge	насмешка
pilgutama	мигнуть
pilgutama	моргать
piljard	бильярд
piljard iauk	луза
piljardikuul	бильярдный шар
piljardiruum	бильярдная
pilk	взгляд (выражение лица)
pilkama	насмехаться
pilku heitma	взглянуть
pill	пилюля
pillama	ронять
piloot	пилот
pilotka	пилотка (воен.)
pilv	облако
pilv	туча
pilvelõhkuja	небоскрёб
pilves	облачный
pilvik	сыроежка
pilvitu	безоблачный
pime	слепой
pime	тёмный (о комнате)
pime (nägemisvõimetu)	тёмный
pinal	пенал
pind	заноза
pindala	площадь
pinge	напряжение
pingviin	пингвин
pink	скамейка
pinnale tõusma	всплывать (о подвод, лодке)
pintsak	пиджак
pintsel	кисть
pipar	перец
pipardama	перчить
piparmünt	мята
pipett	пипетка
pipratops	перечница
piraaja	пиранья
piraat	пират
piraatlus	пиратство
pirn	груша
pirnipuu	груша
pirukas	пирог
pisar	слеза
pistaatsiapähkel	фисташки
pistik	вилка
pistikupesa	розетка
pitsa	пицца
pitsabaar	пиццерия
pitsat	печать (на документе)
plaan	план
plaan	план (города и т.п.)
plaani täitma	выполнять план
plaaster	лейкопластырь
plaatina	платина
plahvatus	взрыв
plakat	плакат
planeerima	планировать
planeet	планета
plank	бланк (фирменный)
plasku	фляжка
plastik	пластик, пластмасса
plastik-	пластмассовый
platoo	плато
pleier	плеер
plekk	пятно
pliiats	карандаш
pliiats iteritaja	точилка
plombeerima	пломбировать (зубы)
plomm	пломба (на зубах)
ploom	слива
ploomipuu	слива
pluss	плюс
pluus	блузка
Pluuto	Плутон
põder	лось
põdravasikas	оленёнок
poeem	поэма
poeg	сын
poegi välja hauduma	высиживать яйца
põgenema	убежать (из тюрьмы)
põgenemine	побег (из тюрьмы)
põhi	дно
põhi	север
põhimõte	принцип
põhja	на север
põhja-	северный
põhja laskma	потопить (корабль и т.п.)
põhja minema	идти ко дну
Põhja-Ameerika	Северная Америка
Põhja-Jäämeri	Северный Ледовитый океан
Põhja-Korea	Северная Корея
Põhjanael	Полярная Звезда
põhjapõder	олень
põhjas	на севере
põhjus	причина
põhjustama	привело
pohlad	брусника
poi	буй
pöial	большой палец
põiktänav	переулок
poiss	мальчик
pojeng	ПИОН
põkkama	производить стыковку
põkkumine	стыковка
poks	бокс
poksija	боксёр
poksikinnas	боксёрская перчатка
polaar-	полярный
põld	поле
põldmari	ежевика
põldoad	бобы
põldpüü	куропатка
põletushaav	ожог
põlgama	презирать
põlgus	презрение
poliitik	политик
poliitika	политика
poliitika	политика (курс)
poliitiline	политический
politsei	полиция
politseijaoskond	полицейский участок
politseinik	полицейский
polk	полк
põllumajandus	сельское хозяйство
polt	болт
polüester	полиэстер
polüestrist	полиэстровый
polüetüleen	полиэтилен
polüglott	полиглот
polügoon	полигон
põlv	колено
põlvikud	гольфы (носки)
põlvkond	поколение
põlvpüksid	шорты
pomm	бомба
pommi heitma	сбросить бомбу
pommilennuk	бомбардировщик
pommitama	бомбить
pommitamine	бомбёжка (налёт авиации)
põnevusfilm	приключенческий фильм
poni	пони
poogen	смычок
pöök	бук
pool	половина
pool aastat	пол года
pool tundi	полчаса
poola	польский
Poola	Польша
poolaasta	полугодие
poolakas	поляк
poolatar	полька
pooldaja	сторонник
poolehoidja	фан, болельщик
poolkasukas	полушубок
poolsaapad	ботинки
poolsaar	полуостров
poolus	полюс
pöörama	поворачивать
pöörama	поворачивать (~ направо)
pööramine	спряжение
poord	борт
pöörmetuled	указатель поворота
põõsas	куст
põõsastik	кустарник
pootsman	боцман
popmuusika	поп-музыка
populaarne	популярный
põrand	пол
põrandaalune	подпольный
põrandalamp	торшер
porgand	морковь
põrgu	ад
põrsas	поросёнок
port	порт (комп.)
portfell	портфель
portree	портрет
portselan	фарфор
portselan-	фарфоровый
portsigar	портсигар
portsjon	порция
Portugal	Португалия
portugali	португальский
portugallane	португалец
portugallanna	португалка
poseerima	позировать
põsesarnad	скулы
posits ioneerima	позиционировать
posits ioneerimine	позиционирование
positsioon	позиция
põsk	щека
post	почта (сообщения)
post	столб
postiljon	почтальон
postkast	почтовый ящик
postkontor	почта
postulaat	постулат
poti	пики
pott	горшок
pott	кастрюля
põuane	засушливый (лето, период)
põud	засуха
praad	жаркое
praadima	жарить
prääksuma	крякать
praeahi	духовка
praegu	сейчас (в наше время)
praetud	жареный (на сковороде)
pragu	трещина
pragunema	трескаться
Praha	Прага
prahti maha viskama	сорить
praktika	практика
prantslane	француз
prantslanna	француженка
prantsuse	французский
Prantsuse Polüneesia	Французская Полинезия
Prantsusmaa	Франция
preemia	премия
prefekt	префект
presbüterlane	пресвитерианин
presbüterlaste kirik	Пресвитерианская церковь
presbüterlus	Пресвитерианство
president	президент
press	пресса
prillid	очки
prilliraamid	оправа
printer	принтер
prints	принц
printsess	принцесса
prisma	призма
probleem	проблема
produtsent	продюсер
professionaalne	профессиональный
professor	профессор
prognoos	прогноз
prognoosima	прогнозировать
programm	программа
programmeeria	программист
programmeerija	программист
programmeerima	программировать
progress	прогресс
prohvet	пророк
projekt	проект
projekteerima	проектировать
prokurör	прокурор
pronks	бронза
pronks-	бронзовый
pronks iaeg	Бронзовый Век
proov	проба (клеймо)
proov	репетиция
proovi tegema	репетировать
proovid	пробы
proovikabiin	примерочная
proovima	пробовать (пытаться)
propeller	пропеллер
prospekt	проспект
prostituut	проститутка
protest	протест
protestant	протестант
protestantism	Протестантство
protestantlik kirik	Протестантская церковь
protesteerima	протестовать
protseduur	процедура
protsendid	проценты (доход)
protsent	процент
protsess	процесс
provaider	провайдер
provokatsioon	провокация
prügi	мусор (отбросы)
prügi	мусор (отходы)
prügi	мусор (сор)
prügiämber	мусорное ведро
prügikonteiner	мусорный бак
prügikühvel	совок для мусора
prügimägi	свалка
prügišaht	мусоропровод
prügiurn	урна (для мусора)
prügivedu	вывоз мусора
pruun	коричневый
pruut	невеста
pruutpaar	молодожёны
pseudonüüm	псевдоним
psühhiaater	психиатр
psühholoog	психолог
psühholoogia	психология
publik	публика
pudel	бутылка
pudel	флакон
pudeliavaja	открывалка (для бутылок)
pudelikael	горлышко (бутылки)
puder	каша
pugema	льстить
püha	СВЯТОЙ (сущ.)
püha	священный
Püha Vaim	Святой Дух
püha vesi	святая вода
Pühakiri	Священное Писание
pühakoda	храм
pühapäev	воскресенье
puhas	чистый
puhastama	очищать
puhastama	чистить
puhkama	отдохнуть
puhkepäev	выходной день
pühkima	подметать
puhkpillid	духовые инструменты
puhkus	ОТДЫХ
puhkus	отпуск
puhkusel olema	быть в отпуске
puhuma	дуть
pühvel	буйвол
puiestee	бульвар
püksiauk	ширинка
püksid	брюки
puksiir	буксир
puksiirtross	буксировочный трос
puksima	буксовать
pulber	порошок
puljong	бульон
pull	бык
pullover	пуловер
pulmad	свадьба
pulss	пульс
pult	пулы
pump	насос
punane	красное
punane	красный
Punane meri	Красное море
punane pipar	красный перец
punane sõstar	красная смородина
punapea	рыжий (человек)
punetised	краснуха
pung	почка
punkt	очко
punkt	пункт (договора)
punkt	точка
punktiir	пунктир
püramiid	пирамида
Püreneed	Пиренеи
puri	парус
purikas	сосулька
purjelaev	парусник
purjelaud	серфинг
purjelaudur	серфингист
purjesport	парусный спорт
purk	банка (жестяная)
purk	банка (стеклянная)
purskkaev	фонтан
puru	крошка (хлеба и т.п.)
puruks litsuma	раздавить (~ насекомое)
purunema	разбиться
purunema	сломаться
purustama	разрушать
purustused	разрушения
püss	ружьё
püssipära	приклад
pussitama	зарезать
püssitoru	дуло
püssitoru	ствол
püstol	пистолет
putukas	насекомое
puu	дерево
puudel	пудель
püüdma	ловить
püüdma	пытаться
püüdma	стремиться (желать)
puuduma	отсутствовать
puuduma	пропускать (занятия и т.п.)
puuduma	пропускать (занятия)
puudutama	прикоснуться
puudutama	трогать
puuhalg	полено
puuk	клещ
puuma	пума
püünis	капкан
püüniseid üles panema	ставить капкан
puuõõs	дупло
puur	клетка
puur	сверло
puurima	сверлить
puurtorn	нефтяная вышка
puus	бедро
puussepp	плотник
puust	деревянный
püüton	ПИТОН
puuvili	фрукт
puuvill	ХЛОПОК
puuvillane	из хлопка
raadio	приёмник
raadio	радио
raadiojaam	радиостанция
raadiolaine	волна (радио)
raadioreklaam	реклама на радио
raadiosaatja	рация
raadiosõlm	радиорубка
raadius	радиус
rääkima	говорить
rääkima	говорить (разговаривать)
rääkima	говорить с ...
rääkima	разговаривать
raam	рама (картины)
raamat	книга
raamatukapp	шкаф (книжный)
raamatukauplus	книжный магазин
raamatukogu	библиотека
raamatukoguhoidja	библиотекарь
raamatupidaja	бухгалтер
raamatupidamine	бухгалтерия
